locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU39070	bglS	lichenan degradation	"endo-beta-1,3-1,4 glucanase"	bglS|bgl|licS	LicT|	licT-bglS	sigA|	LicT|CcpA|DegU|	P-AT+PTS|TF+PP+M|TF-TC|	1|-1|1|	"Salicin Arbutin|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|unk|"	1 1|1 1|-1|	"endo-beta-1,3-1,4 glucanase"
BSU22660	trpC	biosynthesis of tryptophan	indole-3-glycerol-phosphate synthase	trpC	FsrA|MtrB|	trpEDCFBA-hisC-tyrA-aroE	sigA|	TRAP|	RNA-BAP|	-1|	Tryptophan|	1|	indol-3-glycerol phosphate synthase
BSU33610	rnr	nonspecific degradation of rRNA	exoribonuclease RNase R (EC 3.1.-.-)	rnr|yvaJ	SigB|		sigB|						ribonuclease R
BSU35500	degS	regulation of degradative enzyme and genetic competence	two-component sensor kinase	degS|sacU	DegU|CcpA|	degSU	sigA|						two-component sensor histidine kinase
BSU32730	metN	methionine uptake	methionine ABC transporter (binding lipoprotein)	metQ|yusA	SigA|Xpf|S-box|	Op76	sigA|	S-box-SAM|CodY|	riboswitch|TF+M|	-1|1|	S-adenosyl-L-methionine|GTP isoleucine valine|	-1|1 1 1|	"methionine ABC transporter, substrate binding lipoprotein"
new_3762479_3762776_c	S1409	The antisense RNA of hslO	5'UTR of ywnF	S1409
new_4215473_4215670	S1583		independent transcript	S1583
BSU35440	yvyF	unknown	unknown	yvyF|yviB	ScoC|ScoC|	comFABC-yvyF-flgM-yvyG-flgKL	sigD|sigA|	ComK|	TF|	1|	 @|	nan|	putative regulator of flagella formation
BSU36990	ywkF	unknown	sporulation protein	ywkF			sigK|						hypothetical protein
BSU09620	yhdW	unknown	unknown	yhdW									putative glycerophosphodiester phosphodiesterase
BSU35450	comFC	compentence	unknown	comFC	ScoC|	comFABC-yvyF-flgM-yvyG-flgKL	sigD|sigA|	ComK|	TF|	1|	 @|	nan|	putative component of the DNA transport apparatus
BSU11870	metI	biosynthesis of methionine	"O-succinylhomoserine lyase (L-cysteine, H<sub>2</sub>S, methanethiol, elimination)"	metI|yjcI	TnrA|S-box|	yjcIJ	sigA|	S-box-SAM|CodY|	riboswitch|TF+M|	-1|NaN|	S-adenosyl-L-methionine|GTP isoleucine valine|	-1|1 1 1|	cystathionine gamma-synthase and O-acetylhomoserine thiolyase
BSU06269	ydzJ	unknown	unknown	ydzJ									hypothetical protein
BSU_misc_RNA_12	X.8			BSU_misc_RNA_12									SAM
BSU06550	yecA	unknown	unknown	yecA									putative amino acid/polyamine permease
BSU_misc_RNA_48	X.38			BSU_misc_RNA_48									T-box
BSU38180	ywzA	unknown	unknown	ywzA	SigA|SigB|		sigB|						conserved hypothetical protein
BSU31630	mrpD	sodium export	Na<sup>+</sup>/H<sup>+</sup> antiporter subunit	mrpD|yufD									component of Na+/H+ antiporter
new_1211372_1211476	S403		5'UTR of appD	S403
BSU04650	endB	inhibition of inhibition of EndoA	antitoxin	ndoAI|ydcD|mazE									antitoxin EndoAI
BSU08020	yfjO	unknown	putative rRNA methyltransferase	yfjO									putative RNA methyltransferase
new_4125593_4125741_c	S1543		intergenic region	S1543
new_649718_649826	S207		5'UTR of groES	S207
BSU03789	yczN	unknown	unknown	yczN									hypothetical protein
new_3529856_3529913_c	S1313		5'UTR of epsA	S1313
BSU11460	oppD	"initiation of sporulation, competence development"	oligopeptide [SW|ABC transporter ](ATP-binding protein)	oppD|spo0KD	ScoC|	oppABCDF		TnrA|scoC|CodY|	TF+P+M|TF|TF+M|	1|-1|NaN|	Glutamine| @|GTP isoleucine valine|	-1|nan|1 1 1|	oligopeptide ABC transporter (ATP-binding protein)
BSU22590	ypiA	unknown	unknown	ypiA			sigE|	SpoIIID|	TF|	-1|	nan|	nan|	conserved hypothetical protein
new_1915794_1916005_c	S656	The antisense RNA of S45	3'UTR of yndM	S656
BSU04110	lipC	spore germination	spore coat phospholipase B	lipC|ycsK	TnrA|	ycsFGI-kipIAR-ycsK	sigK|	TnrA|KipR|	TF+P+M|TF+unk|	1|-1|	Glutamine|unk|	-1|nan|	lysophopholipase
new_3809980_3810619_c	S1440	The antisense RNA of ispD	5'UTR of spo0F	S1440
new_3741593_3741676	S1400		3'UTR of ywpF	S1400
BSU05240	ydeL	unknown	unknown	ydeL				*YhdI/YdeL*|	silico-TF+unk|	NaN|	unk|	nan|	putative PLP-dependent transcriptional regulator
BSU30280	amyD	uptake of melibiose and raffinose	ABC transporter (permease)	melD|amyD	SigK|CcpA|			CcpA|*MsmR*|	TF+PP+M|silico-TF+M|	-1|NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|unk|"	1 1|-1|	carbohydrate ABC transporter (permease)
new_252315_252458	S89		intergenic region	S89
new_3744236_3744320_c	S1401		5'UTR of ywpB	S1401
BSU22230	ypqE	"uptake and phosphorylation of maltose, N-acetylglucosamine, sucrose, and trehalose"	[[category|SW 1.2.2|PTS]] EIIA component	ptsA|ypqE		ypqE							putative phosphotransferase system enzyme IIA component
BSU12930	dppB	uptake of dipeptides	dipeptide ABC transporter (permease)	dppB|dciAB	CodY|	dppABCDE	sigA|	CodY|AbrB|	TF+M|TF|	-1|-1|	GTP isoleucine valine| @|	1 1 1|nan|	dipeptide ABC transporter (permease)
new_4039160_4039225_c	S1515		5'UTR of yxiB	S1515
BSU39950	yxaJ	unknown	unknown	yxaJ	AbrB|	yxaJL		Rok|AbrB|	TF|TF|	-1|-1|	 @| @|	nan|nan|	putative integral inner membrane protein
BSU09210	yhcT	RNA modification	putative sporulation-specific pseudouridylate synthase	yhcT									putative RNA pseudouridine synthase
BSU38390	ywbA	unknown	unknown	ywbA|ipa-16d				CcpA|*RbsR*|	TF+PP+M|silico-TF+M|	NaN|NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|ribose|"	1 1|-1|	putative phosphotransferase system enzyme IIC permease component
new_2780331_2780484_c	S1029		independent transcript	S1029
BSU13270	ykoI	unknown	unknown	ykoI									conserved hypothetical protein
BSU15730	fmt	formylation of Met-tRNA(fMet)	methionyl-tRNA formyltransferase	fmt|yloL	SigA|	Op20							methionyl-tRNA formyltransferase
BSU26510	yrkH	unknown	unknown	yrkH				*YrkD*|	silico-TF+unk|	NaN|	unk|	|	putative hydrolase
BSU40390	walH	control of cell wall metabolism	negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]]	walH|yycH									regulator of YycFG
new_2225995_2226059	S800		5'UTR of yonK	S800
new_3631609_3631729_c	S1350		5'UTR of yvyD	S1350	SigD|
BSU14720	ylaB	unknown	unknown	ylaB	YlaC|	ylaABCD	YlaC|sigA|	Spx|	TF+S|	1|	Thiol_specific_oxidative_stress::stress|	1|	hypothetical protein
new_2529726_2529888_c	S918		intergenic region	S918
BSU33760	sdpB	maturation of the SdpC toxin	unknown	sdpB|yvaX	AbrB|			Spo0A|Rok|AbrB|	TF+PP|TF|TF|	1|-1|-1|	nan| @| @|	nan|nan|nan|	exporter of killing factor SpbC
BSU32830	fadA	fatty acid degradation	acetyl-CoA C-acyltransferase	fadA|yusK	CcpA|	yusMLKJ	sigA|	sdpR|FadR|CcpA|	TF+P|TF+M|TF+PP+M|	1|-1|-1|	"Sdpc|Palmitoyl-CoA Oleoyl-CoA|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|1|1 1|	acetyl-CoA C-acyltransferase
new_1229759_1229848	S412		intergenic region	S412
BSU39810	csbC	protection against paraquat stress	putative sugar-H<sup>+</sup> symporter	csbC|yxcC	SigA|SigE|SigB|	csbC	sigB|						putative sugar transporter
new_3774188_3774399_c	S1418		intergenic region	S1418
BSU32040	yuiF	unknown	unknown	yuiF				*HisR*|	silico-TF+M|	NaN|	Histidine|	1|	amino acid transporter
BSU37240	ywiE	"phospholipiid biosynthesis, protection against paraquat stress"	minor cardiolipin synthetase	ywiE	SigV|Fur|		sigB|						cardiolipin synthetase
BSU02070	csgA	spore germination	unknown	csgA	SigG|	csgA-ybxH	sigG|	SpoVT|	TF|	-1|	nan|	nan|	sporulation-specific SASP protein
new_3451771_3451862_c	S1287		intergenic region	S1287
BSU08320	yfiM	resistance to linearmycin	ABC transporter (membrane protein)	yfiM									putative ABC transporter (permease)
BSU17280	ymaD	protection against oxidative stress	putative peroxiredoxin	ymaD			sigE|						putative peroxiredoxin-related protein
new_1168918_1169042	S393		5'UTR of yisY	S393
BSU05600	ydgE	unknown	unknown	ydgE									putative N-acetyltransferase
BSU13520	ykrP	unknown	unknown	ykrP									"putative integral inner membrane protein, putative acyltransferase"
BSU11120	yitT	protection against paraquat stress	unknown	yitT|yuxA	SigB|		sigB|						putative integral inner membrane protein
new_2552307_2552445	S924		5'UTR of sinI	S924
BSU07410	yfmN	unknown	unknown	yfmN									hypothetical protein
BSU33250	yvrL	control of Sig(SigO-SigO) activity	anti-Sig(SigO-RsoA)	rsiO|yvrL				YvrI-YvrHa|	sigma like factor|	1|	nan|	nan|	putative integral inner membrane protein
BSU32630	yurR	unknown	unknown	yurR									putative oxidoreductase
BSU27490	yrrB	unknown	unknown	yrrB									putative tetratricopeptide repeat family protein
new_1386984_1387035_c	S472		5'UTR of ispA	S472
BSU10750	yisK	control of cell division	modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity	yisK	SigH|		sigH|						putative catabolic enzyme
BSU09520	sigM	adaptation to inhibitors of peptidoglycan synthesis	RNA polymerase ECF-type sigma factor SigM	sigM|yhdM	SigA|	sigM-yhdLK	sigM|sigA|						RNA polymerase ECF (extracytoplasmic function)-type sigma factor (sigma(M))
BSU15260	ylxX	unknown	unknown	ylxX	stringent response|	murE-mraY-murD-spoVE-murG-murB-divIB-ylxWX-sbp	sigM|sigE|sigA|	SpoIIID|	TF|	-1|	nan|	nan|	conserved hypothetical protein
BSU39600	yxeC	unknown	unknown	yxeC									putative integral inner membrane protein
BSU11382	appA.1	unknown	oligopeptide ABC transporter	appA/2	SigA|ScoC|	appDFABC		scoC|CodY|TnrA|	TF|TF+M|TF+P+M|	-1|-1|NaN|	 @|GTP isoleucine valine|Glutamine|	nan|1 1 1|-1|	"oligopeptide ABC transporter (oligopeptide-binding lipoprotein), C-terminal part of AppA"
BSU00250	xpaC	unknown	unknown	xpaC	SigW|	xpaC-yaaN	sigW|						putative phosphatase
new_1454806_1455063	S504		intergenic region	S504
new_1072963_1073105_c	S351	The antisense RNA of rplE	3'UTR of scoC	S351
BSU21190	yomX	unknown	unknown	yomX									"conserved hypothetical protein, phage SPbeta"
BSU_misc_RNA_20	X.16			BSU_misc_RNA_20									SAM
BSU30180	ytbQ	unknown	unknown	ytbQ	BirA|	bioWAFDBI-ytbQ		BirA|	TF+P+M|	-1|	Biotin|	1|	putative nucleoside-diphosphate-sugar epimerase
new_3574321_3577707	S1326	The antisense RNA of rplR	independent transcript	S1326
BSU20040	yosP	unknown	unknown	yosP|nrdF									"SPbeta phage ribonucleoside-diphosphate reductase, beta subunit"
BSU25569	yqzM	unknown	unknown	yqzM									conserved hypothetical protein
BSU39150	yxiJ	unknown	unknown	yxiJ									conserved hypothetical protein
BSU10420	comK	regulation of [SW|genetic competence] and DNA uptake	competence transcription factor (CTF)	comK	AbrB|	comK	sigA|	Spo0A|Rok|DegU|ComK|CodY|AbrB|Med|	TF+PP|TF|TF-TC|TF|TF+M|TF|P|	1|-1|1|1|-1|-1|1|	nan| @|unk| @|GTP isoleucine valine| @| @|	nan|nan|-1|nan|1 1 1|nan|0|	competence transcription factor (CTF)
new_3471824_3472588	S1299	The antisense RNA of adk	intergenic region	S1299
new_2713803_2713911_c	S993		intergenic region	S993
new_1538693_1539646	S537	The antisense RNA of ybzG	3'UTR of ykzC	S537
new_2459114_2459288	S896	inhibits GTPase activity of FtsZ and Z ring formation during sporulation	[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide	mciZ|S896
BSU25160	ispH	MEP pathway of isoprenoid biosynthesis	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH|yqfP									1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
BSU30390	bceS	resistance against  toxic peptides	two-component sensor kinase	bceS|ytsB									two-component sensor histidine kinase controlling resistance to antibiotics affecting the envelope [YtsA]
new_45224_45399_c	S23		5'UTR of abrB	S23
BSU22390	ypmA	unknown	unknown	ypmA									conserved hypothetical protein
BSU39750	iolB	myo-inositol catabolism	formation of 2-deoxy-5-keto-gluconic acid (4th reaction)	iolB|yxdB	CcpA|	mmsA-iolBCDEF-idh-iolHI-fbaB	sigA|	IolR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"2-deoxy-5-keto-D-gluconic-acid-6-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	5-deoxy-D-glucuronic acid isomerase
new_1071709_1071971_c	S348		independent transcript	S348
new_1744297_1744366	S598		5'UTR of spoVFA	S598
BSU23780	yqjQ	unknown	unknown	yqjQ									"putative metabolite dehydrogenase, NAD-binding"
new_2897341_2897467_c	S1072		5' of BSU_misc_RNA_45	S1072
BSU14150	ykuN	electron transfer	flavodoxin	ykuN	Fur|	ykuNOP	sigA|	Fur|	TF+M|	-1|	Iron|	1|	short-chain flavodoxin
BSU21990	ypdQ	unknown	unknown	ypdQ									conserved hypothetical protein
BSU16520	frr	translation	ribosome recycling factor	frr	stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosome recycling factor
BSU14000	patA	biosynthesis of lysine and peptidoglycan	aminotransferase	patA|uat|dapX		patA	sigE|						aminotransferase
BSU27809	yrzT	unknown	unknown	yrzT									hypothetical protein
BSU36710	fdhD	unknown	similar to sulphurtransferase	fdhD|narQ|narAA									putative subunit of an respiration oxidoreductase
BSU26450	yrkN	unknown	unknown	yrkN	YrkP|			YrkP|	TF-TC|	1|	unk|	nan|	putative N-acetyltransferase
